null	ID_Line	Name_Line	TransportMode
null	C00546	7	bus
null	C00532	Express 307	bus
null	C00548	12	bus
null	C00619	07	bus
null	C00623	15	bus
null	C00638	24	bus
null	C00676	DM12	bus
null	C00673	DM10S	bus
null	C00738	20	bus
null	C01725	17	bus
null	C00615	35	bus
null	C00763	34	bus
null	C00598	Quincy Bus	bus
null	C02401	34S3	bus
null	C00792	45	bus
null	C00739	21	bus
null	C00766	38	bus
null	C01879	02	bus
null	C00785	60	bus
null	C00795	2	bus
null	C01691	110 (ex 39-40 B)	bus
null	C00799	209	bus
null	C00842	05	bus
null	C00845	11	bus
null	C00852	37	bus
null	C00853	41	bus
null	C00818	211	bus
null	C00861	53	bus
null	C00826	13A	bus
null	C00920	31	bus
null	C00921	31S	bus
null	C00969	68.14	bus
null	C01002	184-001	bus
null	C00971	68.100	bus
null	C01014	284-002	bus
null	C01015	284-003	bus
null	C01040	10	bus
null	C01058	39	bus
null	C01004	184-004	bus
null	C02393	284-005	bus
null	C01138	109	bus
null	C01157	128	bus
null	C01168	143	bus
null	C01176	152	bus
null	C01177	153	bus
null	C01185	163	bus
null	C01186	164	bus
null	C01207	186	bus
null	C01211	190	bus
null	C01212	191	bus
null	C01216	196	bus
null	C01228	214	bus
null	C01229	215	bus
null	C01231	217	bus
null	C01247	256	bus
null	C01264	289	bus
null	C01265	290	bus
null	C01273	302	bus
null	C01274	303	bus
null	C01276	306	bus
null	C01282	319	bus
null	C01289	330	bus
null	C01302	355	bus
null	C01316	390	bus
null	C01317	391	bus
null	C02131	6	bus
null	C01394	N51	bus
null	C00620	12	bus
null	C01411	N41	bus
null	C01419	N13	bus
null	C01420	N12	bus
null	C00545	440	bus
null	C00014	10	bus
null	C01538	464	bus
null	C01388	ORLYVAL	rail
null	C01383	13	metro
null	C01390	T2	tram
null	C01437	C	bus
null	C01438	Ea	bus
null	C01440	Eb	bus
null	C01442	F	bus
null	C01467	BRAY 9	bus
null	C01468	BRAY 3	bus
null	C01451	19	bus
null	C01098	62	bus
null	C01508	12	bus
null	C00944	59	bus
null	C01103	67	bus
null	C00814	S15	bus
null	C02234	N	bus
null	C01107	72	bus
null	C01690	109 (ex 39-40 A)	bus
null	C01684	T5	tram
null	C01716	13B	bus
null	C00019	23	bus
null	C01111	76	bus
null	C01721	39-07	bus
null	C01707	S5	bus
null	C00891	G	bus
null	C01766	116	bus
null	C01737	H	rail
null	C01764	221	bus
null	C01116	84	bus
null	C01777	12	bus
null	C02206	95-48	bus
null	C01840	U	bus
null	C01813	753	bus
null	C01826	1	bus
null	C01837	J	bus
null	C01844	K	bus
null	C01847	L	bus
null	C01828	3	bus
null	C01856	TER Centre - Val de Loire Bus	bus
null	C01127	96	bus
null	C01130	101	bus
null	C01131	102	bus
null	C01135	106	bus
null	C01783	7	bus
null	C01187	165	bus
null	C00915	M	bus
null	C02101	R1A	bus
null	C02103	R2	bus
null	C01221	206	bus
null	C01253	270	bus
null	C02279	23	bus
null	C01283	320	bus
null	C00011	5	bus
null	C01342	TRANSPORT URBAIN BONDYNOIS	bus
null	C01359	V3	bus
null	C01361	V2	bus
null	C01362	V5	bus
null	C01324	467	bus
null	C01408	N63	bus
null	C01485	459	bus
null	C02205	PC	bus
null	C01900	Le P'tit Bus du Pré	bus
null	C01695	247	bus
null	C02081	559C	bus
null	C00295	4	bus
null	C01640	N142	bus
null	C01647	N154	bus
null	C00458	30-31 Scolaire	bus
null	C00885	M	bus
null	C00051	45	bus
null	C01698	22	bus
null	C00242	R107	bus
null	C00162	R3 Sud	bus
null	C00087	2	bus
null	C00088	3	bus
null	C00089	4	bus
null	C00264	95-01	bus
null	C00204	23	bus
null	C00339	1	bus
null	C00315	14	bus
null	C00343	6	bus
null	C00344	7	bus
null	C00350	14	bus
null	C00298	9	bus
null	C00346	9	bus
null	C00355	B	bus
null	C00386	302	bus
null	C00437	30-05	bus
null	C00425	41	bus
null	C00389	313	bus
null	C00577	F	bus
null	C00581	B	bus
null	C00484	3801	bus
null	C00541	454	bus
null	C00538	451	bus
null	C00630	29	bus
null	C00636	44	bus
null	C00592	I	bus
null	C00600	E1	bus
null	C00456	30-29 Scolaire	bus
null	C00666	DM5	bus
null	C00681	DM19	bus
null	C00685	DM22	bus
null	C00696	5	bus
null	C00769	42	bus
null	C00708	104	bus
null	C00695	4	bus
null	C00781	56	bus
null	C00782	57	bus
null	C00834	4	bus
null	C00862	21	bus
null	C00897	O	bus
null	C00902	C	bus
null	C00898	J	bus
null	C00900	F	bus
null	C00954	A	bus
null	C00953	B	bus
null	C00964	68.05 A	bus
null	C00972	68.05 B	bus
null	C01476	6	bus
null	C01439	G	bus
null	C01496	2276	bus
null	C01518	PROBUS C	bus
null	C01523	402	bus
null	C01480	17A	bus
null	C01541	467	bus
null	C01580	610	bus
null	C01584	616	bus
null	C01592	640	bus
null	C01594	642	bus
null	C01621	406	bus
null	C01622	407	bus
null	C01623	408	bus
null	C01630	419	bus
null	C01658	15	bus
null	C00665	DM04	bus
null	C01677	430	bus
null	C01876	30-46	bus
null	C01701	261	bus
null	C02144	T	bus
null	C02021	208	bus
null	C02422	TàD Eaubonne Domont	bus
null	C02257	95-29	bus
null	C02427	22	bus
null	C02430	82	bus
null	C01546	Magical Shuttle Orly	bus
null	C00879	D	bus
null	C01576	604	bus
null	C01816	R114	bus
null	C01869	44	bus
null	C02217	424	bus
null	C01429	Filéo Othis (sur réservation)	bus
null	C01773	55	bus
null	C00733	15	bus
null	C01789	95-33	bus
null	C00640	3	bus
null	C00133	3	bus
null	C00744	52	bus
null	C00760	91	bus
null	C01626	413	bus
null	C00271	14	bus
null	C01261	ORLYBUS	bus
null	C00645	30	bus
null	C00121	43	bus
null	C00748	81	bus
null	C01428	40	bus
null	C00527	113 (ex 39-39 A)	bus
null	C00646	31	bus
null	C01903	H	bus
null	C01905	I	bus
null	C02516	SRL Le Vésinet	bus
null	C02470	913.17A	bus
null	C01566	EXPRESS 91-05	bus
null	C01976	321	bus
null	C02022	227	bus
null	C02000	259	bus
null	C02344	T13	tram
null	C00608	95-10	bus
null	C00947	Express 62	bus
null	C02033	49	bus
null	C01996	4B	bus
null	C02023	228	bus
null	C02019	T11	bus
null	C02040	CitéVal Cormeilles-en-Parisis	bus
null	C02069	03A	bus
null	C02059	27	bus
null	C02072	12A	bus
null	C02480	41	bus
null	C02499	Z	bus
null	C01699	23	bus
null	C02087	34A	bus
null	C01244	252	bus
null	C02074	12C	bus
null	C02109	37C	bus
null	C02121	30A	bus
null	C02122	30C	bus
null	C02094	02B	bus
null	C02148	S1	bus
null	C00393	95-05	bus
null	C02501	U	bus
null	C02186	63	bus
null	C02188	62C	bus
null	C02233	Os	bus
null	C01729	E	rail
null	C00223	Express 93	bus
null	C02244	45	bus
null	C02255	Soirée Survilliers - Fosses	bus
null	C02246	71	bus
null	C00360	F	bus
null	C02298	27	bus
null	C01500	Express 50	bus
null	C02508	Soirée Boussy Saint Antoine	bus
null	C02061	32	bus
null	C02260	Soirée Draveil	bus
null	C00571	42	bus
null	C02399	DM9S	bus
null	C02062	EX100 Chelles	bus
null	C02373	TER Hauts-de-France Bus	bus
null	C01726	PROBUS Scolaire	bus
null	C02434	6-3	bus
null	C00263	Express 100	bus
null	C00550	21	bus
null	C01711	DM11E	bus
null	C01952	39	bus
null	C00754	Express A14 Verneuil	bus
null	C01954	59	bus
null	C00839	54	bus
null	C01472	Express 95-18	bus
null	C01571	EXPRESS 91-10	bus
null	C01549	702	bus
null	C00911	14	bus
null	C01820	02E	bus
null	C01563	91-02	bus
null	C02410	Caméléon T7	bus
null	C01557	95-44	bus
null	C00773	47	bus
null	C00930	46	bus
null	C01960	7D	bus
null	C01753	S5	bus
null	C00495	11	bus
null	C01784	N1	bus
null	C01969	13B	bus
null	C00335	C	bus
null	C00919	23	bus
null	C02365	Coulommiers - La Ferté Gaucher Centre	bus
null	C02369	TER Centre - Val de Loire Bus	bus
null	C00928	41	bus
null	C01983	35	bus
null	C01984	38	bus
null	C01986	41	bus
null	C00789	41	bus
null	C02363	Corbeil - La Ferté Alais	bus
null	C01747	TER Grand-Est	rail
null	C02375	TER Normandie	rail
null	C02032	18C	bus
null	C02027	260	bus
null	C00027	Express 16	bus
null	C00698	7	bus
null	C00028	501	bus
null	C00009	3	bus
null	C00012	7	bus
null	C02432	1-2	bus
null	C02092	643	bus
null	C00436	30-04 Scolaire	bus
null	C00102	225	bus
null	C02137	4	bus
null	C00093	114	bus
null	C00153	18s	bus
null	C00148	9D	bus
null	C00015	11	bus
null	C00142	95-25	bus
null	C00030	E	bus
null	C00205	30B	bus
null	C00239	R104	bus
null	C00262	777	bus
null	C00261	Vitavil	bus
null	C00245	701	bus
null	C00238	R113	bus
null	C00241	R106	bus
null	C00235	R110	bus
null	C00234	R7	bus
null	C00252	709	bus
null	C00255	714	bus
null	C00165	04	bus
null	C00172	15	bus
null	C00181	30	bus
null	C00363	LP1	bus
null	C00378	17	bus
null	C00380	24-06	bus
null	C00388	303	bus
null	C01431	Filéo Sarcelles (sur réservation)	bus
null	C00455	30-28 Scolaire	bus
null	C00453	30-25 Scolaire	bus
null	C00494	39-07 A	bus
null	C00478	95-26 Scolaire	bus
null	C00500	39-17	bus
null	C00504	39-27	bus
null	C00562	N1	bus
null	C00485	38-02	bus
null	C00653	502	bus
null	C00649	35	bus
null	C00660	19	bus
null	C00675	DM11A	bus
null	C00679	DM16	bus
null	C00669	DM7S	bus
null	C00678	DM17 A	bus
null	C02466	TàD Coeur Essonne 1	bus
null	C00609	22	bus
null	C00480	CitéVal Nord Herblay	bus
null	C02464	Soirée Domont	bus
null	C02400	34S2	bus
null	C00794	4	bus
null	C00796	3	bus
null	C00797	112	bus
null	C00783	58	bus
null	C02398	DM5S	bus
null	C01072	20	bus
null	C00791	44	bus
null	C02273	S12	bus
null	C01693	112 (ex 39-40 D)	bus
null	C00817	202	bus
null	C00820	7A	bus
null	C00822	9A	bus
null	C00866	26	bus
null	C00923	33	bus
null	C01077	27	bus
null	C00986	7001 Scolaire	bus
null	C00906	8B	bus
null	C00965	68.06	bus
null	C01045	24	bus
null	C01043	14	bus
null	C01052	32	bus
null	C01080	30	bus
null	C01479	14	bus
null	C01122	91	bus
null	C01139	110	bus
null	C01145	116	bus
null	C01146	117	bus
null	C01158	129	bus
null	C01167	141	bus
null	C01172	147	bus
null	C01174	150	bus
null	C01182	159	bus
null	C01188	166	bus
null	C01189	167	bus
null	C01190	169	bus
null	C01196	175	bus
null	C01205	184	bus
null	C01215	195	bus
null	C01222	207	bus
null	C01225	211	bus
null	C01226	212	bus
null	C01260	281	bus
null	C01262	285	bus
null	C01270	297	bus
null	C01084	39	bus
null	C01272	301	bus
null	C01292	340	bus
null	C01295	346	bus
null	C01304	360	bus
null	C01305	361	bus
null	C01307	367	bus
null	C01312	379	bus
null	C01313	385	bus
null	C01319	394	bus
null	C01322	399	bus
null	C01395	N44	bus
null	C01403	N62	bus
null	C02307	21s	bus
null	C01407	N22	bus
null	C01412	N35	bus
null	C01417	N15	bus
null	C01680	35	bus
null	C01808	254	bus
null	C01531	418	bus
null	C01535	461	bus
null	C00543	456	bus
null	C01587	619	bus
null	C01589	623	bus
null	C00587	G1-G2	bus
null	C01090	52	bus
null	C01375	5	metro
null	C01427	5	bus
null	C01095	58	bus
null	C01444	208	bus
null	C01473	2	bus
null	C01443	Emplet	bus
null	C01459	211	bus
null	C01504	6-1	bus
null	C01506	8	bus
null	C01490	503	bus
null	C01100	64	bus
null	C01494	SAMOIS	bus
null	C01550	703	bus
null	C01105	69	bus
null	C01651	S1	bus
null	C01109	74	bus
null	C01678	C	bus
null	C01434	Filéo Roissy Sud - Tremblay (sur réservation)	bus
null	C01719	39-07 C	bus
null	C00020	121	bus
null	C01713	46	bus
null	C01745	TER Bourgogne - Franche-Comté	rail
null	C01689	114 (ex 39-39 B)	bus
null	C02266	T'bus 2	bus
null	C01776	9	bus
null	C01739	J	rail
null	C01792	N2	bus
null	C01842	H	bus
null	C01829	4	bus
null	C00021	201	bus
null	C01859	TER Normandie Bus	bus
null	C01864	TER Hauts-de-France Bus	bus
null	C01870	45	bus
null	C01884	611	bus
null	C01858	TER Centre - Val-de-Loire Bus	bus
null	C00952	73	bus
null	C01132	103	bus
null	C01143	114	bus
null	C01156	127	bus
null	C01175	151	bus
null	C01206	185	bus
null	C01201	180	bus
null	C01422	N153	bus
null	C01210	189	bus
null	C01217	197	bus
null	C01218	199	bus
null	C01242	250	bus
null	C01254	272	bus
null	C01308	368	bus
null	C01321	396	bus
null	C01347	V4	bus
null	C01353	SUBB	bus
null	C01360	CHOISYBUS	bus
null	C01332	La Traverse Batignolles-Bichat	bus
null	C01365	TUVIM	bus
null	C01392	N24	bus
null	C01809	380	bus
null	C02251	77	bus
null	C02437	209	bus
null	C01637	N150	bus
null	C01641	N152	bus
null	C01643	N135	bus
null	C01644	N143	bus
null	C00884	N	bus
null	C00887	K	bus
null	C02142	L	bus
null	C01681	3	bus
null	C02146	S4	bus
null	C00042	33	bus
null	C00004	483	bus
null	C00092	205	bus
null	C00086	1	bus
null	C00085	8	bus
null	C00090	107	bus
null	C00079	19	bus
null	C00075	14	bus
null	C00068	3	bus
null	C00154	21	bus
null	C00182	A	bus
null	C00183	B	bus
null	C00268	2	bus
null	C00281	50	bus
null	C00297	8	bus
null	C00216	45	bus
null	C00265	95-02	bus
null	C00330	A	bus
null	C00341	3	bus
null	C00337	G	bus
null	C00357	C	bus
null	C00358	D	bus
null	C00390	304	bus
null	C00575	J2	bus
null	C00477	95-21	bus
null	C00540	453	bus
null	C00591	M	bus
null	C00610	23	bus
null	C00631	32	bus
null	C00635	43	bus
null	C00586	F4	bus
null	C00662	DM02 A	bus
null	C00663	DM02 B	bus
null	C00684	DM21 B	bus
null	C00704	13	bus
null	C00697	6	bus
null	C00693	2	bus
null	C00692	1	bus
null	C00774	48	bus
null	C00801	I	bus
null	C00793	1	bus
null	C00843	03	bus
null	C00850	34	bus
null	C00854	42	bus
null	C00859	Tzen1	bus
null	C00878	Cd	bus
null	C00881	E	bus
null	C00982	3	bus
null	C01579	609	bus
null	C01475	05	bus
null	C01497	2274	bus
null	C01498	2273	bus
null	C01516	PROBUS A	bus
null	C01527	414	bus
null	C02415	95-51	bus
null	C01583	615	bus
null	C01660	B	bus
null	C01601	D	bus
null	C01620	405	bus
null	C01595	644	bus
null	C01656	17	bus
null	C01811	206A	bus
null	C01779	171	bus
null	C01878	30-07	bus
null	C02020	207	bus
null	C01805	34	bus
null	C02035	A	bus
null	C02419	105B	bus
null	C02036	B	bus
null	C02426	21	bus
null	C01545	Magical Shuttle CDG	bus
null	C02449	41	bus
null	C02456	9	bus
null	C01413	N01	bus
null	C01414	N02	bus
null	C00901	4	bus
null	C01288	325	bus
null	C01555	95-42	bus
null	C00740	22	bus
null	C02161	71	bus
null	C02249	Express A14 Mantes	bus
null	C00752	110	bus
null	C01979	R	bus
null	C00275	21	bus
null	C00270	11	bus
null	C00116	32	bus
null	C01672	416	bus
null	C01602	E	bus
null	C01692	111 (ex 39-40 C)	bus
null	C01799	260	bus
null	C01368	Le Petit Fontenaisien	bus
null	C00117	33	bus
null	C00931	47	bus
null	C00757	88B	bus
null	C00447	30-14	bus
null	C00674	DM11G	bus
null	C02095	02C	bus
null	C02366	Longueville - Provins	bus
null	C02278	20	bus
null	C02458	27	bus
null	C00144	8	bus
null	C02026	231	bus
null	C00226	R117	bus
null	C02462	17	bus
null	C02368	TER Centre - Val de Loire	rail
null	C02007	168	bus
null	C02104	R3	bus
null	C02469	T13	bus
null	C02372	TER Hauts-de-France	rail
null	C02484	RD14	bus
null	C02494	Bus de substitution du métro 14	bus
null	C02495	TàD 205	bus
null	C02070	03B	bus
null	C02496	TàD 201/202	bus
null	C02071	03C	bus
null	C00310	502 Scolaire	bus
null	C02078	31B	bus
null	C00370	13	bus
null	C02125	35B	bus
null	C02127	35C	bus
null	C02111	41	bus
null	C02117	09B	bus
null	C02191	62A	bus
null	C02195	29B	bus
null	C02194	61A	bus
null	C01743	B	rail
null	C02237	Es	bus
null	C02231	Ls	bus
null	C02185	62	bus
null	C02506	Soirée Yerres Sud	bus
null	C02503	TàD 78	bus
null	C02371	TER Normandie Bus	bus
null	C02296	68-13A	bus
null	C02297	68-13B	bus
null	C02264	20	bus
null	C02267	T'bus 3	bus
null	C02507	Soirée Brunoy Sud	bus
null	C02491	Soir Saint-Germain-en-Laye	bus
null	C02382	S2	bus
null	C01648	N133	bus
null	C00408	11	bus
null	C02165	11.5	bus
null	C00244	R109	bus
null	C00942	56S	bus
null	C02361	57	bus
null	C00422	V	bus
null	C02216	423	bus
null	C00951	70	bus
null	C02295	TàD 52	bus
null	C02397	DM50	bus
null	C01501	1-1	bus
null	C02436	46-3	bus
null	C00815	34	bus
null	C01759	749	bus
null	C01503	5	bus
null	C00563	CDG VAL	rail
null	C02024	229	bus
null	C01957	16	bus
null	C01569	EXPRESS 91-08	bus
null	C01378	8	metro
null	C01712	Filéo Survilliers (sur réservation)	bus
null	C01958	7B	bus
null	C02504	Soirée Crosne	bus
null	C01679	T3b	tram
null	C01389	T1	tram
null	C01686	L	bus
null	C00454	30-27	bus
null	C01959	7C	bus
null	C01430	Filéo Roissy Sud - Villeparisis Mitry-Mory(sur réservation)	bus
null	C01230	216	bus
null	C01448	210	bus
null	C00941	56	bus
null	C02184	54	bus
null	C01271	299	bus
null	C00038	32	bus
null	C00756	90	bus
null	C01963	9C	bus
null	C01965	11B	bus
null	C02414	95-49	bus
null	C00937	52	bus
null	C00107	5	bus
null	C01559	95-46	bus
null	C00913	18	bus
null	C02277	14	bus
null	C01299	351	bus
null	C02183	53	bus
null	C01266	291	bus
null	C02145	S3	bus
null	C00026	409	bus
null	C01988	48	bus
null	C02403	DM152S	bus
null	C01990	55	bus
null	C01991	61	bus
null	C01992	17	bus
null	C01994	21S	bus
null	C00700	9	bus
null	C00710	107	bus
null	C01937	1	bus
null	C02288	193	bus
null	C00010	4	bus
null	C02219	52	bus
null	C00082	10-01	bus
null	C00104	226	bus
null	C00074	1	bus
null	C02139	8s	bus
null	C00078	16	bus
null	C02431	332	bus
null	C02169	6	bus
null	C00119	41	bus
null	C00126	172	bus
null	C00113	17	bus
null	C00137	511	bus
null	C00130	313	bus
null	C02170	9	bus
null	C00170	10	bus
null	C00147	9B	bus
null	C00024	209	bus
null	C00218	47	bus
null	C01802	16	bus
null	C00017	18	bus
null	C00203	22	bus
null	C00209	32	bus
null	C00217	46	bus
null	C00200	18	bus
null	C00210	32A	bus
null	C00240	R105	bus
null	C00237	R112	bus
null	C00236	R111	bus
null	C00249	705	bus
null	C00276	23	bus
null	C00060	13	bus
null	C00279	27	bus
null	C00322	203	bus
null	C00382	24-10	bus
null	C01093	56	bus
null	C00364	501	bus
null	C00489	39-003	bus
null	C00409	12	bus
null	C00410	14	bus
null	C00400	95-17	bus
null	C00481	CitéVal Sud Herblay	bus
null	C00463	30-37	bus
null	C00507	39-28 C	bus
null	C00459	30-32 Scolaire	bus
null	C00490	10	bus
null	C00464	30-38	bus
null	C00516	39-30 C	bus
null	C00518	39-303	bus
null	C00496	39-10	bus
null	C00498	39-13	bus
null	C00525	117 (ex 39.37 A)	bus
null	C00514	39-29-4	bus
null	C01396	N42	bus
null	C00561	103	bus
null	C00529	39-203	bus
null	C00624	17	bus
null	C00604	E	bus
null	C00625	21	bus
null	C00139	95-22	bus
null	C00243	R108	bus
null	C00658	17	bus
null	C00633	37	bus
null	C02280	S16	bus
null	C00762	30	bus
null	C02465	Soirée Écouen Ézanville	bus
null	C00912	L	bus
null	C02284	S8	bus
null	C02411	Caméléon T8	bus
null	C00751	109	bus
null	C00768	40	bus
null	C02153	S2	bus
null	C00770	43	bus
null	C00787	5	bus
null	C00790	42	bus
null	C00786	9	bus
null	C00788	6	bus
null	C00840	01	bus
null	C00841	02	bus
null	C01076	26	bus
null	C00860	64	bus
null	C00831	18A	bus
null	C00890	S4	bus
null	C00922	32	bus
null	C01074	22	bus
null	C00989	7005	bus
null	C00973	306.04	bus
null	C01995	4A	bus
null	C00966	68.08	bus
null	C00979	913.10	bus
null	C01013	284-001	bus
null	C01060	41A	bus
null	C01003	184-003	bus
null	C01006	184-006	bus
null	C01008	184-008	bus
null	C01012	184-014	bus
null	C01079	29	bus
null	C01119	87	bus
null	C01120	88	bus
null	C01121	89	bus
null	C01123	92	bus
null	C01821	486	bus
null	C01137	108	bus
null	C01147	118	bus
null	C01148	119	bus
null	C01150	121	bus
null	C01160	132	bus
null	C01161	133	bus
null	C01164	138	bus
null	C01171	146	bus
null	C01192	171	bus
null	C01193	172	bus
null	C01198	177	bus
null	C01202	181	bus
null	C01203	182	bus
null	C01209	188	bus
null	C01223	208A	bus
null	C01224	210	bus
null	C01237	238	bus
null	C01240	244	bus
null	C01245	253	bus
null	C01281	318	bus
null	C01287	323	bus
null	C01306	366	bus
null	C01311	378	bus
null	C01314	388	bus
null	C01320	395	bus
null	C01323	421	bus
null	C01393	N52	bus
null	C01401	N21	bus
null	C01404	N32	bus
null	C01085	42	bus
null	C01406	N43	bus
null	C01410	N71	bus
null	C01418	N14	bus
null	C01710	487	bus
null	C01756	337	bus
null	C01807	N66	bus
null	C02254	40	bus
null	C01537	463	bus
null	C01674	A2	bus
null	C01384	14	metro
null	C00588	G2	bus
null	C01426	2	bus
null	C01092	54	bus
null	C01387	7B	metro
